 Bench  Longitude  Latitude Disp E (mm) Disp N (mm)    Err E       Err N
   130 139.67583  36.36034  -360.11946  -629.64989    199.44672    258.88917     
   131 140.10714  36.22546  -268.01278  -807.50412    285.19125    356.68776     
   146 139.19054  36.00585   -36.04115   575.91118    233.70620    223.95789     
   102 140.35574  39.29688   632.16975   497.84627    200.68721    180.23035     
   105 140.82926  39.16369  -246.77448   490.94966    135.18406    144.60154     
   110 140.78883  38.96094   -39.97089   428.76025    151.65295    169.12256     
   109 140.21978  39.03204   304.81205   506.20118    226.48728    212.87583     
   106 141.18438  39.01291  -553.57911   633.43162    147.31391    174.45330     
   108 141.17213  38.56479  -696.15253   654.60901    206.16870    267.85795     
   113 140.82537  38.18969    55.02771   823.47557    236.58229    293.32629     
   112 140.62029  38.45548    14.29032   683.93031    203.89615    246.58046     
   111 140.21096  38.52929   108.05485   783.93008    206.89516    247.62626     
   376 140.11323  38.83542   698.67591   387.27600    251.66852    230.66328     
   377 140.44891  38.84023   -61.54388   455.59622    201.56817    198.81387     
   114 140.16519  38.22678   -11.27807   552.79836    203.43204    257.58541     
   115 140.47677  38.09445    24.38259   543.22136    213.18357    261.38441     
   116 140.79366  37.80050   247.94577   189.68120    255.98043    275.61170     
   118 140.24478  37.73541   121.79532    83.32251    188.81681    215.23016     
   117 139.70757  37.85488   226.90342   185.96863    167.97800    224.51137     
   119 140.70207  37.35495  -167.05884  -268.06177    273.99697    239.72216     
   121 139.71521  37.36322   -94.99196  -363.64292    118.18959    136.27039     
   120 140.20474  37.37407  -177.51142  -240.16877    181.40552    175.88456     
   122 140.74896  37.06635  -551.53955  -133.68981    309.30082    256.96815     
   124 140.27342  36.93021  -245.52702  -318.44806    206.67570    170.03624     
   330 139.96186  37.15020  -335.78650  -509.77463    138.79272    134.91096     
   125 139.77721  36.90003  -247.97000  -410.77191    119.11674    115.29236     
   123 139.35427  37.04766    12.89325  -198.93409     92.18389     99.48753     
   127 140.58825  36.62104  -676.64246  -572.80074    331.83865    269.61488     
   126 139.49129  36.76521  -112.90451  -470.90760    106.55540    125.39322     
   128 140.22984  36.61753  -399.06846  -585.08199    240.22421    219.80318     
   129 139.88771  36.57005  -334.93865  -516.01283    176.24976    199.23229     
   174 139.17782  36.54107  -146.91791  -336.30012    178.35249    179.69813     
   145 138.95523  36.98302     8.77519  -183.65360    164.35561    123.20967     
   144 138.48445  37.28961   502.63218   188.84865    285.07472    250.08607     
   173 138.56002  36.74212  -222.47319   287.42814    268.58397    204.40594         
   171 138.11371  36.89279   778.00536   286.61975    399.30101    303.66416         
   178 138.02193  36.48429   133.47631   242.65678    468.04381    391.53894         
   180 138.59792  36.27975  -597.19036   -10.08922    357.98005    335.51433         
   177 138.39216  36.55374  -306.59157   375.42174    374.41333    312.30970         
   183 138.29557  36.10382  -604.77795   325.25412    480.69045    487.34992         
   134 139.74797  38.76299   470.30974   668.51203    299.42717    279.81960         
   136 139.84952  38.34299   130.00564   617.71052    232.41704    283.29557         
   142 139.34585  37.62247   317.82885    26.81317    147.69891    202.62839         
   137 139.51495  38.12783   370.50779   337.17647    226.15017    290.56134         
   143 139.23405  37.34365   264.95950  -291.53360    120.29679    148.08789         
   139 139.14320  37.95139   534.72811   963.49272    226.61345    316.26777         
   140 138.81682  37.71863   537.30844   101.53905    235.05885    290.01634         
    87 140.40931  40.42847  1176.19608  -822.70884    349.79323    502.62114         
    90 140.94481  40.24601   274.33134  -283.21993    239.71172    345.33114         
    94 140.54463  39.97675   912.50843  -111.16643    201.98637    265.29419         
    91 140.13072  40.18741  1697.98204  -404.16626    374.86345    422.05993         
    88 141.58479  40.40068  -508.36140  -491.67297    380.72286    417.10678         
    92 141.75889  40.04966  -550.16702   -32.04826    323.55811    297.45475         
    93 141.54140  40.03803  -436.30360    19.11903    257.66945    269.24532         
    89 141.30880  40.38796  -193.96056  -395.92367    323.84865    406.35389         
    95 141.00145  39.85261    83.81022   121.58231    132.78627    187.98277         
    96 140.31115  39.79700  1150.31005    69.76975    235.92616    252.88796         
    97 141.78148  39.72688  -731.59298   332.70846    270.21657    241.68029         
    99 141.48944  39.55835  -508.71036   389.37557    168.28617    155.45578         
    98 140.75469  39.57040   265.46628   330.15584    106.22527    136.74550         
   101 141.18986  39.33785  -347.01423   482.99641    106.05597    118.16769         
   100 141.97527  39.53859  -784.71435   409.08879    318.55480    253.14433         
   104 141.72951  39.20398  -701.81068   705.22536    235.61347    217.79524         
   103 141.40212  39.20116  -574.43736   614.33179    149.58175    159.94705         
   107 141.44763  38.97522  -700.67127   742.26745    180.92038    218.97252         
