 Bench  Longitude  Latitude Disp E (mm) Disp N (mm)    Err E       Err N
   130 139.67583  36.36035  -141.12820     3.24504     68.53465     57.98191       
   174 139.17782  36.54108    84.91489   -95.92971     69.09731     60.23227       
   131 140.10714  36.22547    57.70400    74.19281     71.38492     78.82426        
   146 139.19054  36.00584  -201.21666   255.08844    124.15297    126.33027       
   129 139.88771  36.57006  -127.77498    30.07436     53.40849     64.09907      
   126 139.49129  36.76522    95.42532  -204.53961     49.77234     52.99590      
   128 140.22984  36.61754   -14.60072    50.06639     58.00078     61.95330       
   127 140.58825  36.62106   -13.53515    58.71050     89.69599     72.50967       
   171 138.11371  36.89280   433.17334  -109.19740     76.47382    110.79596     
   144 138.48445  37.28961   211.35545  -224.96177     69.24724     80.79699      
   173 138.56002  36.74212   -81.97195   -16.07871     65.11230     60.04405      
   178 138.02193  36.48429   -48.47800  -117.64538     65.70739     83.58063     
   180 138.59792  36.27975  -189.01054   -76.95999     84.19316     63.03568     
   177 138.39216  36.55375    63.83136    55.44060     91.53621     86.73363     
   145 138.95523  36.98303   -31.96333   -76.04584     63.58549     59.22570     
   183 138.29557  36.10383  -335.14889  -169.39305     89.88190    100.87800     
   123 139.35427  37.04767   119.72299   -25.62168     47.09593     55.68342      
   143 139.23405  37.34366   139.36013  -127.22394     45.71611     58.97520      
   121 139.71520  37.36323   103.10581    -6.05550     53.26860     48.96037      
   125 139.77721  36.90004    98.52687  -193.31125     50.77024     51.14366     
   139 139.14320  37.95140   246.99347   609.86614     76.26715    101.68145       
   142 139.34585  37.62248   176.45180   154.02929     51.26012     69.31341       
   140 138.81681  37.71864   318.74271   145.84130     88.17440     96.57580       
   137 139.51494  38.12784   255.08494   104.12996    110.58288     78.46887       
   117 139.70757  37.85489   166.07273   207.40543     62.13055     69.77252       
   136 139.84952  38.34300   -22.32231   255.65493     79.41427     65.84152             
   114 140.16518  38.22679   -73.54903   155.53445     57.00407     65.53606       
   115 140.47677  38.09446   -44.98808    42.78130     55.87336     63.84250       
   120 140.20474  37.37409   -39.07917   -81.76868     57.11092     63.99717       
   119 140.70207  37.35496  -229.65819   -86.89502     65.69612     86.15936       
   116 140.79365  37.80052   -41.63425    76.33299     59.75191     91.30281       
   124 140.27342  36.93022   -78.98035     1.68688     56.37631     58.62947       
   330 139.96186  37.15021    57.61744  -165.16882     48.06387     55.14278       
   122 140.74896  37.06636  -257.16051    87.88413     75.74622    101.65049       
   134 139.74796  38.76300   253.57607   -34.45778     95.71764    116.84537       
   109 140.21978  39.03205   257.89795  -279.66935     68.93520     97.97470       
   111 140.21096  38.52930   -58.53170   130.84506     55.14731     67.96211       
   102 140.35573  39.29689    77.73676  -353.20152     55.63528     74.50125       
    96 140.31114  39.79701   -37.79267  -330.80119     61.31685     68.89447       
    98 140.75469  39.57042    75.67618   -17.23637     51.23460     62.21869       
   105 140.82925  39.16370   -60.34545   -87.22971     50.08965     62.45799       
   110 140.78883  38.96095   -12.68006   -68.04175     52.86401     60.56400       
   101 141.18985  39.33786   -25.38629   109.65026     51.34577     54.91228       
   106 141.18437  39.01292    10.40637   165.45244     57.07180     60.70414       
   107 141.44763  38.97523   -86.32729   202.63997     49.88317     73.47487       
   108 141.17212  38.56480    71.93340   362.45696     66.33391     98.14552       
   103 141.40211  39.20117   -64.67555    49.68786     43.91901     61.90461       
   113 140.82537  38.18970   -34.59248   133.50144     59.24224     80.45807       
   112 140.62028  38.45549   -39.98563   169.11209     60.95516     59.55681       
    95 141.00144  39.85262   -66.49589   154.63968     62.07287     57.68531       
    99 141.48943  39.55837   -81.54671   140.13679     47.88324     61.57930       
   104 141.72951  39.20399  -124.17868    24.29369     62.72601     76.47206       
    88 141.58478  40.40069  -153.26068    79.17392     93.29233     96.74946       
    89 141.30879  40.38797  -269.83942  -165.85531    112.28546     94.35036        
    92 141.75888  40.04968   -71.78206   223.76024     64.23844     79.50399        
    93 141.54140  40.03804    66.48566   201.37390     54.79090     69.24877        
    90 140.94480  40.24603    85.62318    -6.39015     77.15402     69.16017       
    87 140.40930  40.42849   104.43619  -127.43803    103.30647    129.08065       
    94 140.54462  39.97676   112.43820   -61.45806     58.75312     60.54471       
    91 140.13071  40.18743   -81.78254   -91.78550     85.15124     86.76304       
    97 141.78147  39.72690    28.16740   188.98151     57.44181     90.23952        
   100 141.97526  39.53860    51.64961  -116.73153     79.88317     96.72410        
   377 140.44890  38.84025   -30.21508     9.16118     10.30621      2.69193       
   376 140.11322  38.83543   -20.50702     3.04602     13.63795      3.05209       
